"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"ERX5991860","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678103","","613.95","1","19974866","1648506060","Chlorpromazine_20uM_T96h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991859","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678101","","554.16","1","18014489","1485583103","Chlorpromazine_20uM_T48h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991858","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678100","","702.62","1","23539753","1952851219","Chlorpromazine_20uM_T3h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991857","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678099","","702.61","1","23526070","1951820619","Chlorpromazine_20uM_T3h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991856","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678098","","668.8","1","22191065","1839585339","Chlorpromazine_20uM_T30_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991855","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678097","","653.61","1","21622206","1792505044","Chlorpromazine_20uM_T30_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991854","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678096","","645.92","1","21387843","1773029871","Chlorpromazine_20uM_T1h_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991853","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678095","","664.41","1","22823113","1897299005","Chlorpromazine_20uM_T1h_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991852","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678094","","726.51","1","25167214","2092950931","Chlorpromazine_20uM_T15_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991851","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678092","","763.64","1","25530267","2116726407","Chlorpromazine_20uM_T0_runA_r2","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991850","Illumina HiSeq 4000 sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678091","","713.78","1","23893836","1981543274","Chlorpromazine_20uM_T0_runA_r1","WGS","METATRANSCRIPTOMIC","RANDOM"
"ERX5991849","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678212","","894.13","1","7556650","2111820303","Niclosamide_20uM_T96h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991848","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678211","","304.44","1","2551267","700229413","Niclosamide_20uM_T96h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991847","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678148","","277.36","1","2306585","632874644","Niclosamide_20uM_T96h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991846","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678147","","333.42","1","2775016","768357186","Niclosamide_20uM_T96h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991845","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678210","","265.46","1","2201305","604064668","Niclosamide_20uM_T48h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991844","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678209","","291.02","1","2440327","683737516","Niclosamide_20uM_T48h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991843","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678146","","517.48","1","4414229","1235964976","Niclosamide_20uM_T48h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991842","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678145","","696.91","1","5961250","1680798284","Niclosamide_20uM_T48h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991841","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678208","","327.19","1","2796217","787827840","Niclosamide_20uM_T3h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991840","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678207","","424.87","1","3587445","997525807","Niclosamide_20uM_T3h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991839","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678144","","410.52","1","3443157","953279258","Niclosamide_20uM_T3h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991838","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678143","","469.35","1","4008362","1118149755","Niclosamide_20uM_T3h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991837","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678204","","342.23","1","2849205","780626054","Niclosamide_20uM_T1h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991836","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678203","","339.17","1","2852984","796548855","Niclosamide_20uM_T1h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991835","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678140","","549.76","1","4683427","1315138007","Niclosamide_20uM_T1h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991834","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678139","","282.93","1","2379878","659582151","Niclosamide_20uM_T1h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991833","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678198","","642.89","1","5479928","1538019950","Metformin_5mM_T96h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991832","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678197","","381.19","1","3240108","912464829","Metformin_5mM_T96h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991831","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678134","","469.19","1","4044731","1147239563","Metformin_5mM_T96h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991830","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678133","","306.74","1","2608997","733593897","Metformin_5mM_T96h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991829","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678196","","665.98","1","5625745","1579730410","Metformin_5mM_T48h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991828","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678195","","302.03","1","2518560","698803188","Metformin_5mM_T48h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991827","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678132","","320.15","1","2644615","709750459","Metformin_5mM_T48h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991826","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678131","","284.14","1","2386897","664021161","Metformin_5mM_T48h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991825","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678194","","198.71","1","1650124","453964603","Metformin_5mM_T3h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991824","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678193","","451.02","1","3876198","1092521415","Metformin_5mM_T3h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991823","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678130","","630.77","1","5455409","1545622741","Metformin_5mM_T3h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991822","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678129","","478.3","1","4087752","1146905855","Metformin_5mM_T3h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991821","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678190","","388.61","1","3285224","915905956","Metformin_5mM_T1h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991820","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678189","","192.06","1","1599191","439299438","Metformin_5mM_T1h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991819","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678126","","344.21","1","2880110","800224165","Metformin_5mM_T1h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991818","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678125","","378.93","1","3162231","874552393","Metformin_5mM_T1h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991817","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678182","","289.47","1","2480813","699107326","Control_T96h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991816","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678181","","452.62","1","3826207","1064128263","Control_T96h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991815","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678118","","380.66","1","3271213","925445567","Control_T96h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991814","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678117","","667.85","1","5756796","1631530700","Control_T96h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991813","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678180","","420.5","1","3625697","1021638074","Control_T48h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991812","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678179","","310.79","1","2712576","770897690","Control_T48h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991811","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678116","","627.46","1","5413757","1531077666","Control_T48h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991810","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678115","","657.75","1","5671471","1601024594","Control_T48h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991809","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678178","","505.28","1","4348995","1228569543","Control_T3h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991808","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678177","","642.71","1","5511771","1552534373","Control_T3h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991807","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678114","","239.68","1","2024990","558704015","Control_T3h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991806","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678113","","371.01","1","3135470","872128123","Control_T3h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991805","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678174","","584.37","1","5110672","1454917937","Control_T1h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991804","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678173","","304.91","1","2635135","740667700","Control_T1h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991803","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678110","","670.9","1","5843638","1658645202","Control_T1h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991802","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678109","","571.39","1","4932979","1389780513","Control_T1h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991801","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678170","","501.64","1","4272481","1201893820","Control_T0_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991800","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678169","","660.22","1","5637736","1594040805","Control_T0_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991799","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678106","","587.54","1","5054664","1429585893","Control_T0_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991798","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678105","","401","1","3419772","962762742","Control_T0_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991797","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678168","","576.51","1","4905144","1302941811","Chlorpromazine_20uM_T96h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991796","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678167","","443.38","1","3812574","1078176473","Chlorpromazine_20uM_T96h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991795","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678104","","508.75","1","4463570","1273667867","Chlorpromazine_20uM_T96h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991794","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678103","","483.57","1","4206006","1191026795","Chlorpromazine_20uM_T96h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991793","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678166","","637.55","1","5467243","1534234732","Chlorpromazine_20uM_T48h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991792","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678165","","589.72","1","5125426","1453458313","Chlorpromazine_20uM_T48h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991791","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678102","","386.54","1","3309976","932700249","Chlorpromazine_20uM_T48h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991790","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678101","","283.5","1","2439629","687085935","Chlorpromazine_20uM_T48h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991789","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678164","","433.69","1","3691855","1035120030","Chlorpromazine_20uM_T3h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991788","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678163","","461.74","1","3964364","1109358205","Chlorpromazine_20uM_T3h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991787","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678100","","516.99","1","4380095","1227305756","Chlorpromazine_20uM_T3h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991786","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678099","","437.69","1","3695530","1029801326","Chlorpromazine_20uM_T3h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991785","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678160","","444.88","1","3833499","1080397024","Chlorpromazine_20uM_T1h_runB_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991784","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678159","","553.84","1","4766551","1338175021","Chlorpromazine_20uM_T1h_runB_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991783","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678096","","553.55","1","4804277","1364780344","Chlorpromazine_20uM_T1h_runA_r2","WGS","METAGENOMIC","RANDOM"
"ERX5991782","Illumina HiSeq 4000 paired end sequencing","synthetic metagenome","Illumina HiSeq 4000","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678095","","675.77","1","5839205","1652938798","Chlorpromazine_20uM_T1h_runA_r1","WGS","METAGENOMIC","RANDOM"
"ERX5991781","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678218","","9.64","1","29711","14855500","Transfer3_runB_r2","AMPLICON","METAGENOMIC","PCR"
"ERX5991780","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678217","","11.61","1","37466","18733000","Transfer3_runB_r1","AMPLICON","METAGENOMIC","PCR"
"ERX5991779","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678216","","12.76","1","39614","19807000","Transfer2_runB_r2","AMPLICON","METAGENOMIC","PCR"
"ERX5991778","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678215","","9.85","1","32026","16013000","Transfer2_runB_r1","AMPLICON","METAGENOMIC","PCR"
"ERX5991777","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678214","","8.17","1","25811","12905500","Transfer1_runB_r2","AMPLICON","METAGENOMIC","PCR"
"ERX5991776","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678213","","24.72","1","78916","39458000","Transfer1_runB_r1","AMPLICON","METAGENOMIC","PCR"
"ERX5991775","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678206","","24.9","1","78540","39270000","Niclosamide_20uM_T30_runB_r2","AMPLICON","METAGENOMIC","PCR"
"ERX5991774","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678205","","14.58","1","47461","23730500","Niclosamide_20uM_T30_runB_r1","AMPLICON","METAGENOMIC","PCR"
"ERX5991773","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678202","","9.36","1","29864","14932000","Niclosamide_20uM_T15_runB_r2","AMPLICON","METAGENOMIC","PCR"
"ERX5991772","Illumina MiSeq paired end sequencing","synthetic metagenome","Illumina MiSeq","European Molecular Biology Laboratory","ERP130819","Multi-omics analysis of a synthetic gut microbial community.","ERS6678201","","8.57","1","27694","13847000","Niclosamide_20uM_T15_runB_r1","AMPLICON","METAGENOMIC","PCR"
